;program;IDENTIFICADOR;punto_y_coma;var;dos_puntos;real;string;begin;end;punto;operador_asignacion;read;write;constCadena;parentesis_abre;parentesis_cierra;if;then;endif;else;while;do;endwhile;not;menor;mayor;igual;distinto;igual_simple;and;or;constReal;raiz;longitud;subcadena;buscar;coma;concatenar;mas;menos;producto;division;potencia;$
<programa >;program,IDENTIFICADOR,punto_y_coma,<seccion_decl>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<seccion_decl>;;;;var,<lista_decls>;;;epsilon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_decls>;;<decl>,<lista_decls_Prim>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_decls_Prim>;;<decl>,<lista_decls_Prim>;;;;;epsilon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<decl>;;<lista_ids> ,dos_puntos, <tipo>, punto_y_coma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_ids>;;IDENTIFICADOR,<lista_ids_prim>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_ids_prim>;;;punto_y_coma,IDENTIFICADOR,<lista_ids_prim>;;epsilon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<tipo>;;;;;;real;string;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<cuerpo>;;;;;;;;begin,<lista_sentencias>,end,punto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_sentencias>;;<sentencia>,<lista_sentencias>;;;;;;;epsilon;;;<sentencia>,<lista_sentencias>;<sentencia>,<lista_sentencias>;;;;<sentencia>,<lista_sentencias>;;epsilon;epsilon;<sentencia>,<lista_sentencias>;;epsilon;;;;;;;;;;;;;;;;;;;;;
<sentencia>;;<asignacion>;;;;;;;;;;<lectura>;<escritura>;;;;<si_entonces>;;;;<mientras>;;;;;;;;;;;;;;;;;;;;;;;
<asignacion>;;IDENTIFICADOR,operador_asignacion,<expresion> ,punto_y_coma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lectura>;;;;;;;;;;;;read,parentesis_abre,constCadena,coma,IDENTIFICADOR,parentesis_cierra,punto_y_coma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<escritura>;;;;;;;;;;;;;write,parentesis_abre,<lista_escritura>,parentesis_cierra,punto_y_coma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<lista_escritura>;;<elem_escritura>,<lista_escritura_prim>;;;;;;;;;;;;<elem_escritura>,<lista_escritura_prim>;<elem_escritura>,<lista_escritura_prim>;;;;;;;;;;;;;;;;;<elem_escritura>,<lista_escritura_prim>;<elem_escritura>,<lista_escritura_prim>;;;;;;;;;;;
<lista_escritura_prim>;;;punto_y_coma,<elem_escritura>,<lista_escritura_prim> ;;;;;;;;;;;;;epsilon;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<elem_escritura>;;<expresion_arit>;;;;;;;;;;;;constCadena;<expresion_arit>;;;;;;;;;;;;;;;;;<expresion_arit>;<expresion_arit>;;;;;;;;;;;
<si_entonces>;;;;;;;;;;;;;;;;;if,parentesis_abre,<condicion>,parentesis_cierra,then,<lista_sentencias>,<sino>,endif,punto_y_coma;;;;;;;;;;;;;;;;;;;;;;;;;;;
<sino>;;;;;;;;;;;;;;;;;;;epsilon;else,<lista_sentencias>;;;;;;;;;;;;;;;;;;;;;;;;
<mientras>;;;;;;;;;;;;;;;;;;;;;while,parentesis_abre,<condicion>,parentesis_cierra,do,<lista_sentencias>,endwhile,punto_y_coma;;;;;;;;;;;;;;;;;;;;;;;
<condicion>;;<condicion_not>,<condicion_base>,<condicion_prim>;;;;;;;;;;;;;<condicion_not>,<condicion_base>,<condicion_prim>;;;;;;;;;<condicion_not>,<condicion_base>,<condicion_prim>;;;;;;;;<condicion_not>,<condicion_base>,<condicion_prim>;<condicion_not>,<condicion_base>,<condicion_prim>;<condicion_not>,<condicion_base>,<condicion_prim>;<condicion_not>,<condicion_base>,<condicion_prim>;<condicion_not>,<condicion_base>,<condicion_prim>;;;;;;;;
<condicion_not>;;epsilon;;;;;;;;;;;;;epsilon;;;;;;;;;not;;;;;;;;epsilon;epsilon;epsilon;epsilon;epsilon;;;;;;;;
<condicion_base>;;<expr_base_no_paren>,<op_rel>,<expresion>;;;;;;;;;;;;<expr_base_no_paren>,<op_rel>,<expresion>;parentesis_abre,<condicion>,parentesis_cierra;;;;;;;;;;;;;;;;;<expr_base_no_paren>,<op_rel>,<expresion>;<expr_base_no_paren>,<op_rel>,<expresion>;<expr_base_no_paren>,<op_rel>,<expresion>;<expr_base_no_paren>,<op_rel>,<expresion>;<expr_base_no_paren>,<op_rel>,<expresion>;;;;;;;;
<condicion_prim>;;;;;;;;;;;;;;;;epsilon;;;;;;;;;;;;;;<op_logico>,<condicion>,<condicion_prim>;<op_logico>,<condicion>,<condicion_prim>;;;;;;;;;;;;;
<op_rel>;;;;;;;;;;;;;;;;;;;;;;;;;menor,<op_rel_prim>;mayor,<op_rel_prim>;igual,<op_rel_prim>;distinto,<op_rel_prim>;;;;;;;;;;;;;;;;
<op_rel_prim>;;epsilon;;;;;;;;;;;;epsilon;epsilon;;;;;;;;;;;;;;igual_simple;;;epsilon;epsilon;epsilon;epsilon;epsilon;;;;;;;;
<op_logico>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;and;or;;;;;;;;;;;;;
<expresion>;;<expr_base_no_paren>;;;;;;;;;;;;<expr_base_no_paren>;parentesis_abre,<expresion>,parentesis_cierra,<expr_continuation_context>;;;;;;;;;;;;;;;;;<expr_base_no_paren>;<expr_base_no_paren>;<expr_base_no_paren>;<expr_base_no_paren>;<expr_base_no_paren>;;;;;;;;
<expr_base_no_paren>;;IDENTIFICADOR,<expr_base_no_paren>;;;;;;;;;;;; constCadena,<expr_continuation_context>;;;;;;;;;;;;;;;;;;constReal,<expr_continuation_arit>;raiz,parentesis_abre,<expresion_arit>,parentesis_cierra,<expr_continuation_arit>; longitud,parentesis_abre,<expresion_constCadena>,parentesis_cierra,<expr_continuation_arit>;subcadena,parentesis_abre,<expresion_constCadena>,coma,<expr_aritmetica>,coma,<expresion_arit>,parentesis_cierra,<expr_continuation_cad>;buscar,parentesis_abre,<expresion_constCadena>,coma,<expresion_constCadena>,parentesis_cierra,<expr_continuation_arit>;;;;;;;;
<expr_continuation_context>;;;epsilon;;;;;;;;;;;;;epsilon;;;;;;;;;epsilon;epsilon;epsilon;epsilon;;epsilon;epsilon;;;;;;;concatenar,<expresion_constCadena>;mas,<expresion_arit>;menos,<expresion_arit>;producto,<expresion_arit>;division,<expresion_arit>;potencia,<expresion_arit>;
<expr_continuation_arit>;;;epsilon;;;;;;;;;;;;;epsilon;;;;;;;;;epsilon;epsilon;epsilon;epsilon;;epsilon;epsilon;;;;;;;;mas,<expresion_arit>;menos,<expresion_arit>;producto,<expresion_arit>;division,<expresion_arit>;potencia,<expresion_arit>;
<expr_continuation_cad>;;;epsilon;;;;;;;;;;;;;epsilon;;;;;;;;;epsilon;epsilon;epsilon;epsilon;;epsilon;epsilon;;;;;;;concatenar,<expresion_constCadena>;;;;;;
<expresion_arit>;;<arit_prod>,<arit_sum_prim>;;;;;;;;;;;;;<arit_prod>,<arit_sum_prim>;;;;;;;;;;;;;;;;;<arit_prod>,<arit_sum_prim>;<arit_prod>,<arit_sum_prim>;;;;;;;<arit_prod>,<arit_sum_prim>;;;;
<arit_sum_prim>;;;epsilon;;;;;;;;;;;;;epsilon;;;;;;;;;epsilon;epsilon;epsilon;epsilon;;epsilon;epsilon;;;;;;epsilon;;mas,<arit_prod>,<arit_sum_prim>;menos,<arit_prod>,<arit_sum_prim>;;;;
<arit_prod>;;<arit_pow>,<arit_prod_prim>;;;;;;;;;;;;;<arit_pow>,<arit_prod_prim>;;;;;;;;;;;;;;;;;<arit_pow>,<arit_prod_prim>;<arit_pow>,<arit_prod_prim>;;;;;;;<arit_pow>,<arit_prod_prim>;;;;
<arit_prod_prim>;;;epsilon;;;;;;;;;;;;;epsilon;;;;;;;;;epsilon;epsilon;epsilon;epsilon;;epsilon;epsilon;;;;;;epsilon;;epsilon;epsilon;producto,<arit_pow>,<arit_prod_prim>;division,<arit_pow>,<arit_prod_prim>;;
<arit_pow>;;<arit_unary>,<arit_pow_prim>;;;;;;;;;;;;;<arit_unary>,<arit_pow_prim>;;;;;;;;;;;;;;;;;<arit_unary>,<arit_pow_prim>;<arit_unary>,<arit_pow_prim>;;;;;;;<arit_unary>,<arit_pow_prim>;;;;
<arit_pow_prim>;;;epsilon;;;;;;;;;;;;;epsilon;;;;;;;;;epsilon;epsilon;epsilon;epsilon;;epsilon;epsilon;;;;;;epsilon;;epsilon;epsilon;epsilon;epsilon;potencia,<arit_pow>;
<arit_unary>;;<arit_primario>;;;;;;;;;;;;;<arit_primario>;;;;;;;;;;;;;;;;;<arit_primario>;<arit_primario>;;;;;;;menos,<arit_primario> ;;;;
<arit_primario>;;IDENTIFICADOR;;;;;;;;;;;;;parentesis_abre,<expresion_arit>,parentesis_cierra;;;;;;;;;;;;;;;;;constReal;raiz,parentesis_abre,<expresion_arit>,parentesis_cierra;;;;;;;;;;;
<expresion_constCadena>;;<expr_str_atom>,<expr_str_concat_prim>;;;;;;;;;;;;<expr_str_atom>,<expr_str_concat_prim>;<expr_str_atom>,<expr_str_concat_prim>;;;;;;;;;;;;;;;;;;;;<expr_str_atom>,<expr_str_concat_prim>;;;;;;;;;
<expr_str_concat_prim>;;epsilon;;;;;;;;;;;;epsilon;epsilon;;;;;;;;;;;;;;;;;epsilon;epsilon;epsilon;epsilon;epsilon;epsilon;concatenar,<expr_str_atom>;;;;;;
<expr_str_atom>;;IDENTIFICADOR;;;;;;;;;;;;constCadena;parentesis_abre;;;;;;;;;;;;;;;;;;;;subcadena,parentesis_abre,<expresion_constCadena>,coma,<expresion_arit>,coma,<expresion_arit>,parentesis_cierra   ;;;<expr_str_concat_prim>;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
